
Liten klasse
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-14950;ROCKY;Dufour 34;1:51:59;1:46:16;1;1;Thore Hammarstrøm (Drøbaksund Seilforening
2;NOR-9660;ANDANTE;X-332;1:53:38;1:47:50;2;2;Terje Hall Torgersen (Bundefjorden Seilforening
3;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;1:53:19;1:50:15;3;3;Steinar Waler (Røyken Seilforening
4;NOR-723;LIFFE;Albin express;2:15:45;1:54:50;4;4;Leif Evensen (Drøbaksund Seilforening
5;NOR-318;EASY RIDER;Albin Express;2:16:11;1:55:12;5;5;Arne Bratlie (Hurum Seilforening
6;NOR-14456;ROSA;Hallberg Rassy 342;2:11:46;1:57:32;6;6;Truls Berger (Drøbaksund Seilforening
7;NOR-6938;HAVHEKSEN;Maxi 999;2:14:16;1:58:41;7;7;LARS BERGER (Drøbaksund Seilforening
Stor klasse
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-15461;FLYING SCOTSMAN;Sun Fast 3600;1:58:30;1:59:55;1;1;Colin Campbell (Hurum Seilforening
2;NOR-14109;LITTLE WING;T-34;2:04:11;2:02:34;2;2;Kristian Heder (Asker Seilforening
3;NOR-14660;TANGO;Mumm36;1:58:51;2:05:16;3;3;Iver Iversen (Nesodden Seilforening
4;NOR-14570;MARIALENE;Elan 350;2:03:52;2:06:50;4;4;Steinar Jørgensen (Drøbaksund Seilforening
5;NOR-15628;WILDA;SO 409 Performance;2:07:31;2:07:15;5;5;Kristian Jerpetjøn (Nesodden Seilforening
6;NOR-12502;BRAVEHEART;IMX-38;2:12:34;2:13:53;6;6;KIM KNUDSEN (Kongelig Norsk Seilforening
7;NOR-14927;TAMARA;Jeanneau;2:09:42;2:14:45;7;7;Lars-Fredrik Moe-Helgesen (Drøbaksund Seilforening
