
Liten klasse
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-9660;ANDANTE;Terje Hall Torgersen;Bundefjorden Seilforening;X-332;2:02:39;1:56:01;1;1;
2;NOR-11285;TUSSå;Frank Sandberg;Drøbaksund Seilforening;Sun Fast 35;2:22:32;2:15:58;2;2;
3;NOR-15421;NORA;Jan Christian Abrahamsen;Drøbaksund Seilforening;Jeanneau SO 36I;2:37:14;2:17:34;3;3
4;NOR-14035;DELAN;Knut Selliken;Drøbaksund Seilforening;Elan 310;2:27:49;2:18:03;4;4;
Stor klasse
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-804;KULING;Morten Ebbell Hestnes;Bundefjorden Seilforening;Melges 24;2:10:38;2:08:24;1;1
2;NOR-12443;WHITE SHADOW FARMERS;Eirik Rosenberg;Bergens Seilforening;Landmark 43;1:54:37;2:09:03;2;2
3;NOR-8542;VELA FELICIA;Odd Aandal;Drøbaksund Seilforening;Dynamic 43;2:04:25;2:11:52;3;3
4;NOR-15628;WILDA;Kristian Jerpetjøn;Nesodden Seilforening;SO 409 Performance;2:23:12;2:22:54;4;4
5;NOR-15461;FLYING SCOTSMAN;Colin Campbell;Hurum Seilforening;Sun Fast 3600;2:23:19;2:25:02;5;5
6;NOR-14570;MARIALENE;Steinar Jørgensen;Drøbaksund Seilforening;Elan 350;2:22:00;2:25:33;6;6
7;NOR-12101;NN;Tor Magnus Lie;Drøbaksund Seilforening;First 50;;DNF (8)
