
Doublehanded fredag
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Fredag;
1;NOR-9299;OLISABETH;Luffe 40MH;2:59:37;3:02:50;1;1;Svein Are Løtveit (Asker Seilforening
2;NOR-160;POINT 2 POINT;11 Meter;3:06:12;3:06:00;2;2;Anders Larsson (Asker Seilforening
3;NOR-10990;VELA;First 31.7;3:48:48;3:28:53;3;3;snorre strandrud (Asker Seilforening
4;NOR-13335;HYGGEN;Hanse 430e;3:47:25;3:55:36;4;4;Ole Gunnar Tveiten (Asker Seilforening
5;NOR-11606;JACETTI;J/92S;4:36:05;4:22:49;5;5;Geir Lerkerød (Frognerkilen Seilforening Av 1860
6;NOR-10240;FRITT FRAM!;First 40.7;4:25:02;4:30:51;6;6;Audun Gjøstein (Asker Seilforening
7;NOR-13638;ENESTE SøSTER;Hanse 350;;;;DNF (11);Finn Kr. Aamodt (Ullern Seilforening
7;NOR-11172;GRåTASS;Grand Soleil 42R;;;;DNF (11);Bente Vikenes (Asker Seilforening
7;NOR-11541;JJ FLASH;J/109;;;;DNF (11);Geir Inge Juriks (Kongelig Norsk Seilforening
7;NOR-14971;SEAYOU 2;Seascape 27;;;;DNF (11);Harald Masst (Bærum Seilforening
Doublehanded ≤ 0,983
Plass;Seilnr;Båt;Båttype;Poeng;Fredag;Lørdag;
1;NOR-493;MANITO;Albin Express;;3;1;2;Morten Ring-Andersen (Kongelig Norsk Seilforening
2;NOR-11655;TIDIG 3;Elan 37;;7;6;1;Henrik Terjesen (Bærum Seilforening
3;NOR-10203;JAKOBINE;J/92;;7;2;5;Yngve Lønmo (Hurum Seilforening
4;NOR-10388;JAMBO;J/109;;8;4;4;Torgeir Sten Askvig (Asker Seilforening
5;NOR-9899;DRØM;X-332;;9;3;6;Endre Marken (Bærum Seilforening
6;NOR-11956;MORILD;Elan 37;;10;7;3;Olav Mork Bjørnås (Nesodden Seilforening
7;NOR-12392;RAGNHILD;First 31.7;;15;5;10;Edvard Aspelund (Bundefjorden Seilforening
8;NOR-9282;X RED DINGO;X-342 MH;;15;8;7;Line Katrin Rødseth (Nesodden Seilforening
9;NOR-13724;VINDTORA;Pogo 8.50;;19;DNF (11);8;Christian Stensholt (Frognerkilen Seilforening Av 1860
10;NOR-11110;LUPONA;Kron;;20;DNF (11);9;wolfgang eichstetter (Asker Seilforening
Doublehanded ≥ 0,984
Plass;Seilnr;Båt;Båttype;Poeng;Fredag;Lørdag;
1;NOR-13639;GODEVENNER;First 40;;2;1;1;Elling Rishoff (Asker Seilforening
2;NOR-15036;KRAFTKAR;Elan 400S;;5;3;2;Sigmund Andre Hertzberg (Bærum Seilforening
3;NOR-16000;RAA GLEDE;HH42;;6;2;4;Christen With (Asker Seilforening
4;NOR-15461;FLYING SCOTSMAN;Sun Fast 3600;;7;4;3;Colin Campbell (Hurum Seilforening
5;NOR-13859;SIRKUS;Arcona 370;;16;DNF (11);5;Finn Thon (Bærum Seilforening
6;NOR-11220;SAEVITIA;Bavaria 35 Match;;17;DNF (11);6;Morten Sollerud (Asker Seilforening
7;NOR-15333;TOXIFIA;Xp 33;18;;DNF (11);7;Kai Viksjø (Bærum Seilforening
8;NOR-7006;LURINGEN;Finngulf 39;;19;DNF (11);8;Tommy Bermann (Asker Seilforening
9;NOR-12296;FRI FLYT;Hanse 370e;;22;DNF (11);OCS (11);Petter Hegle (Holmestrand Seilforening
10;NOR-11565;ESCAPE;hanse 400;;22;DNF (11);DNC (11);Lasse Bjerkestrand (Asker Seilforening
NOR rating lørdag ≤ 0,995
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Lørdag;
1;NOR-9660;ANDANTE;X-332;2:33:58;2:26:06;1;1;Terje Hall Torgersen (Bundefjorden Seilforening
2;NOR-11464;ELDORADO;X-37;2:28:25;2:26:20;2;2;Alf Magne Andersen (Nesodden Seilforening
3;NOR-14064;BLACK MAGIC;First 35;2:30:42;2:27:23;3;3;Espen Thøgersen (Kongelig Norsk Seilforening
4;NOR-14109;LITTLE WING;T-34;2:32:58;2:30:58;4;4;Kristian Heder (Asker Seilforening
5;NOR-7051;FRIDA;Scanmar 345;2:51:10;2:32:20;5;5;Arne Husevåg (Asker Seilforening
6;NOR-535;THUNDERCHICKEN;Express;3:00:19;2:32:32;6;6;Erling Guderud (Bærum Seilforening
7;NOR-10107;JOY IV;First 31.7;2:45:59;2:33:22;7;7;TROND GUNDERSEN (Asker Seilforening
8;NOR-14784;KåRSTUA;Elan 310;2:42:15;2:34:08;8;8;Andreas Abildgaard (Kongelig Norsk Seilforening
9;NOR-10044;WENDIGO 2;Dehleer 36 JV;2:39:49;2:36:08;9;9;Gunnar Gundersen (Kongelig Norsk Seilforening
10;NOR-804;KULING;Melges 24;2:42:40;2:39:54;10;10;Morten Ebbell Hestnes (Bundefjorden Seilforening
11;NOR-10580;STAKKATO;First 27.7;2:58:22;2:41:03;11;11;Eirik Nordli (Bundefjorden Seilforening
12;NOR-11348;LUCKY DUCK;First 31.7;3:01:47;2:46:08;12;12;Audun Noreng (Kongelig Norsk Seilforening
13;NOR-10701;OUT OF OFFICE;First 36.7;2:49:45;2:47:02;13;13;Geir Kristensen (Asker Seilforening
14;NOR-9155;HAVHESTEN;First 41S5;2:52:15;2:51:12;14;14;Magnus Lingjærde (Bærum Seilforening
NOR rating lørdag ≥ 0,996
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Lørdag;
1;NOR-11172;GRåTASS;Grand Soleil 42R;2:17:52;2:30:33;1;1;Bente Vikenes (Asker Seilforening
2;SWE-3;ANAHITA;Laurin One Off;2:27:59;2:33:09;2;2;Jens Gran (Kongelig Norsk Seilforening
3;USA-50390;PAKALOLO;Mumm 36;2:24:39;2:33:45;3;3;Marius Andersen (Frognerkilen Seilforening Av 1860
4;NOR-10240;FRITT FRAM!;First 40.7;2:30:58;2:35:11;4;4;Audun Gjøstein (Asker Seilforening
5;NOR-88;AKHILLEVS-X;X-35;2:33:58;2:35:58;5;5;G. Yngve Amundsen (Ullern Seilforening
6;NOR-160;POINT 2 POINT;11 Meter;2:33:11;2:36:05;6;6;Anders Larsson (Asker Seilforening
7;NOR-10016;LUFELIA;Luffe 43 DS;2:33:27;2:36:21;7;7;Erik Toftenes (Asker Seilforening
8;NOR-15628;WILDA;SO 409 Performance;2:42:15;2:41:55;8;8;Kristian Jerpetjøn (Nesodden Seilforening
9;NOR-14570;MARIALENE;Elan 350;2:38:30;2:42:27;9;9;Steinar Jørgensen (Drøbaksund Seilforening
10;NOR-14660;TANGO;Mumm 36;2:34:08;2:42:27;9;9;Iver Iversen (Nesodden Seilforening
11;NOR-14628;VINDFANG;HP1030;2:37:15;2:43:04;11;11;Tormod S. Petersen (Nesodden Seilforening
12;NOR-13335;HYGGEN;Hanse 430e;2:39:58;2:46:44;12;12;Ole Gunnar Tveiten (Asker Seilforening
13;NOR-14971;SEAYOU 2;Seascape 27;3:28:48;3:28:10;13;13;Harald Masst (Bærum Seilforening
TUR lørdag
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Lørdag;
1;NOR-12312;FADERNES BESLUTNING;makTEN;3:04:09;3:04:09;1;1;jan nic. langfeldt (Asker Seilforening
2;NOR-10058;SAGA;Elan;3:25:55;3:25:55;2;2;Oksavik Kjetil (Asker Seilforening
3;NOR-14776;COCO;Bavaria Cruiser 32;;;;OCS (4);Ola Sandbu (Asker Seilforening
