Albin Express
1;NOR-586;Siela;Albin Express;Amanda DIBIAGIO;Bundefjorden Seilforening;
2;NOR-988;JaJa;Albin Express;Randi WØIEN;Oslo Seilforening;
3;NOR-121;Xania;Albin Express;Peter DÖRSCH;Oslo Seilforening;
4;NOR-695;Gjørdis;Albin Express;Daniel ANDERSEN;Oslo Seilforening;
5;NOR-163;Brisen;Albin Express;Tore VOLDEN;Oslo Seilforening;
6;NOR-1105;Akva;Albin Express;Ivar ENGEN;Oslo Seilforening;
7;NOR-190;Salacia;Albin Express;Marius BAKKE;Bundefjorden Seilforening;
8;NOR-952;Regattamaskinen Asbjørn;Albin Express;Ane Berg TOMTER;Oslo Seilforening;
NOR-Rating - under 0.980
1;NOR-145;Kismet;Knarr;Tilo PFLEGER;Oslo Seilforening;;5951;1.0;1.0;1.0;
2;NOR-101;EXCALIBUR;X-35 MOD;Christian COOK;Kongelig Norsk Seilforening;610.4;9153;2.0;2.0;2.0;
3;NOR-15005;Kismet jr.;OMEGA 30;Erik BERG;Oslo Seilforening;728.4;7543;3.0;3.0;3.0;
4;NOR-5975;Brunhildur;X-79;Sindre BAKKE;Bundefjorden Seilforening;684.6;6745;4.0;4.0;4.0;
5;NOR-9660;Andante;X-332;Terje Hall TORGERSEN;Bundefjorden Seilforening;644.3;8674;5.0;5.0;5.0;
6;NOR-12106;Fortissimo;First 31.7;Emil KJELLESVIK;Bundefjorden Seilforening;;;6.0;6.0;6.0;
7;NOR-9775;Bilbo;FIRST 31.7 LR;Jonas SMITT-AMUNDSEN;Kongelig Norsk Seilforening;664.3;8403;7.0;7.0;7.0;
NOR-Rating - over 0.980
1;NOR-14887;Jubel;J/109;Jon HOLM;Oslo Seilforening;;;;;;
2;NOR-804;kuling;MELGES 24 OD;Morten Ebbell HESTNES;Bundefjorden Seilforening;;;;;;
3;NOR-15546;Shen Long;Fareast 28R;Ludvig KARLIN;Bundefjorden Seilforening;;;;;;
4;NOR-15628;WilDa;Sun OD 409;Kristian JERPETJØN;Nesodden Seilforening;;;;;;
5;NOR-26;PAKALOLO II;FARR 30;Siri SØMME;Kongelig Norsk Seilforening;;;;;;
6;NOR-12538;MASITO;Hanse 430;Eivind BAKKE;Bundefjorden Seilforening;;;;;;
7;NOR-20;Babar;X-35 OD;Arild ANDRESEN;Frognerkilen Seilforening. Av 1860;;;;;;
8;SWE 9995;MorraDi;MUMM 36;Lars KVAKKESTAD;Frognerkilen Seilforening. Av 1860;;;;;;
9;NOR-15666;SONS OF HURRICANES;Sinergia 40;Jon Sverre HØIDEN;Bundefjorden Seilforening;;;;;;
10;NOR-9340;La Strega Bianca;BB 13.5;Erling S;Kongelig Norsk Seilforening;;;;;;
