
Fullt mannskap
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-190;SALACIA;Albin Express;4:32:14;3:51:54;1;1;Marius Bakke (Bundefjorden Seilforening
2;NOR-9660;ANDANTE;X-332;4:04:36;3:54:03;2;2;Terje Hall Torgersen (Bundefjorden Seilforening
3;NOR-5952;EXCITER;Scanmar 33;4:56:40;4:24:37;3;3;Oddvar Eide (Hurum Seilforening
4;NOR-12566;RUFFEN;Hanse 400;4:52:34;5:01:27;4;4;Richard von Mansfeldt Asheim (Asker Seilforening
5;NOR-15754;ANSILLA;Sweden Yachts 370;5:30:57;5:14:24;5;5;Roy Rundgren (ukjent
Shorthanded
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-10203;JAKOBINE;J/92;3:52:22;3:35:10;1;1;Yngve Lønmo (Hurum Seilforening
2;NOR-15393;REDLINE;Sun Fast 3200;3:48:33;3:40:28;2;2;Andreas Lawson (Bærum Seilforening
3;NOR-10910;ILLE MORO;Bavaria 42Match;3:32:59;3:41:17;3;3;LUDVIG DAAE (Bundefjorden Seilforening
4;NOR-12784;BRIS;Arcona 370;3:42:54;3:41:33;4;4;RAGNAR ANDREASSEN (Bundefjorden Seilforening
5;NOR-141;WII;Platu 25 MOD;4:26:15;3:54:14;5;5;Ole Aabel (Asker Seilforening
6;NOR-10576;FARROUT;Farr395;3:45:15;3:58:36;6;6;Petter Hegle (Holmestrand Seilforening
7;NOR-15283;FRAMTIA;XP-44;3:38:57;4:00:24;7;7;Kjetil Tørseth (Hurum Seilforening
8;NOR-26;PAKALOLO II;Farr 30;4:02:04;4:00:49;8;8;Marius Andersen (Frognerkilen Seilforening Av 1860
9;NOR-10580;STAKKATO;First 27.7;4:36:08;4:04:30;9;9;Eirik Nordli (Bundefjorden Seilforening
10;NOR-26 ;DESTIN;Fareast 28r;4:07:02;4:05:46;10;10;Tore Kandahl (Asker Seilforening
11;NOR-10701;OUT OF OFFICE;First 36.7;4:16:07;4:10:08;11;11;Geir Kristensen (Asker Seilforening
12;NOR-4658;LADY STARDUST;Albin Nova;4:53:18;4:18:51;12;12;Mikael Khei (Sarpsborg Seilforening
13;NOR-10990;HåREK;First 31.7;5:04:15;4:36:17;13;13;erik kverum (Hurum Seilforening
14;NOR-11285;TUSSå;Sun Fast 35;4:57:08;4:40:33;14;14;Frank Sandberg (Drøbaksund Seilforening
15;NOR-13724;VINDTORA;Pogo 8.50;5:14:17;4:47:56;15;15;Christian Stensholt (Frognerkilen Seilforening Av 1860
16;NOR-5674;PIVA 3;X-95;5:27:14;4:55:56;16;16;Erik Johan Worsøe Eriksen (Nesodden Seilforening
17;NOR-28;HYAK;SunFast 3200;;DNF (19);;;Pål Kragerud (Kongelig Norsk Seilforening
