
Shorthanded: Doublehanded
1;NOR-10203;Jakobine;J/92;Yngve LØNMO;Hurum Seilforening;
2;NOR-14220;Track;First 31.7;Arne BRATLIE;Hurum Seilforening;
3;NOR-33002;Pretty Fast;Sun Fast 3300;Lars-Fredrik MOE-HELGESEN;Drøbaksund Seilforening;
4;NOR-15628;WilDa;Sun OD 409;Kristian JERPETJØN;Nesodden Seilforening;
5;NOR-5952;Exciter;SCANMAR 33;Oddvar EIDE;Hurum Seilforening;
6;NOR-12057;Jenna;Grand Soleil 37 B&;Morten WESTBERG;Kongelig Norsk Seilforening;

NOR>=0,980
1;NOR-26;PAKALOLO II;FARR 30;Marius ANDERSEN;Frognerkilen Seilforening. Av 1860;
2;NOR-14570;Marialene;Elan 350;Steinar JØRGENSEN;Drøbaksund Seilforening;
