
Doublehande ranking STOR
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-14760;ILLUMINATI;Grand Soleil 43B;;;;;Håkon Hjorthøy (Asker Seilforening
2;NOR-10738;MIMOKA;Elan 37;;;;;Morten Nissen-Lie (Kongelig Norsk Seilforening
3;NOR-33001;HYRROKKIN;Sun Fast 3300;;;;;Sigmund Andre Hertzberg (Tønsberg Seilforening
4;NOR-13063;WII 2;Farr 30 MOD;;;;;Ole Aabel (Asker Seilforening
5;NOR-26;PAKALOLO II;Farr 30;;;;;Marius Andersen (Frognerkilen Seilforening Av 1860
6;NOR-33003;SPARROW;Sun Fast 3300;;;;;Bjarne Birkeland (Bærum Seilforening
7;NOR-15628;WILDA;SO 409 Performance;;;;;Kristian Jerpetjøn (Nesodden Seilforening
8;NOR-15670;MIKA;JPK 1080;;;;;harald walder (Bærum Seilforening
9;NOR-12645;TROLLFJORD;Swedestar 370;;;;;Svein Arild Hildrum (Asker Seilforening
10;NOR-16028;BLå;Dehler 38;;;;;Geir Melby (Asker Seilforening
11;NOR-11541;JJ FLASH;J/109;;;;;Geir Inge Juriks (Kongelig Norsk Seilforening
12;NOR-15333;TOXIFIA;XP33;;;;;Aksel Andreassen (Holmestrand Seilforening
13;NOR-17444;WILD ONE;Pogo 12.50;;;;;Knut Berg-Jacobsen (Kongelig Norsk Seilforening
14;NOR-15413;RUBIN 4;Dehler38;;;;;Harald Helverschou (Asker Seilforening

Doublehanded ranking LITEN
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-727;POWERPLAY;Albin Express;;;;;Henrik Sjøl Christensen (Asker Seilforening
2;NOR-10629;SINBAD;Impala 31;;;;;Bjørn Hansen (Bærum Seilforening
3;NOR-10203;JAKOBINE;J/92;;;;;Yngve Lønmo (Hurum Seilforening
4;NOR-11817;YESS;First 31,7;;;;;Charlotta Jonsson (Asker Seilforening
5;NOR-11110;LUPONA;Kron;;;;;wolfgang eichstetter (Asker Seilforening
6;NOR-10954;PURAVIDA;Bavaria 38 Match;;;;;Carl Hjalmar Knap (Asker Seilforening
7;NOR-28;HYAK;SunFast 3200;;;;;Pål Kragerud (Kongelig Norsk Seilforening
8;NOR-12392;RAGNHILD;First 31.7;;;;;Edvard Aspelund (Bundefjorden Seilforening
9;NOR-13859;SIRKUS;Arcona 370;;;;;Finn Thon (Bærum Seilforening
10;NOR-190;SALACIA;Albin Express;;;;;Marius Bakke (Bundefjorden Seilforening
11;NOR-10083;JERRY;J/92;;;;;Stian Henriksen (Asker Seilforening
12;NOR-9979;RIPSTICK;J 92;;;;;Peter Holm (Bærum Seilforening
13;NOR-10129;TJANGS;X-332;;;;;Bjørn Sødal (Christianssands Seilforening
14;NOR-11440;OCCASIONè;Bavaria 35 Match;;;;;Jan Ivar Sylte (Drøbaksund Seilforening
15;NOR-15735;MERLIN 2;Dehler 34;;;;;John Moen (Asker Seilforening
16;NOR-12057;JENNA;Grand Soleil 37;;;;;Morten Westberg (Kongelig Norsk Seilforening
17;NOR-9505;XOCO;X-362 sport;;;;;Axel Nissen-Lie (Nesøya Seilforening
18;NOR-14990;MANI;Bavaria 35 MatcH;;;;;Dag Tønder (Kongelig Norsk Seilforening

NORrating
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-12243;GAME;Landmark 43;;;;;Calle Andersen (Asker Seilforening
2;NOR-190;SALACIA;Albin Express;;;;;Marius Bakke (Bundefjorden Seilforening
3;NOR-13920;SMIL;First 35;;;;;Ragnar Wisløff (Asker Seilforening
4;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;;;;;Steinar Waler (Røyken Seilforening
5;NOR-160;POINT 2 POINT;11 Meter;;;;;Anders G. Larsson (Asker Seilforening
6;NOR-14628;VINDFANG;HP1030;;;;;Tormod S. Petersen (Nesodden Seilforening
7;NOR-4040;FRAM VIII;Half Ton;;;;;Hans-Petter Jensen (Asker Seilforening
8;NOR-15848;MAMACITA;Oceanis 31;;;;;Svein Arnesen (Kongelig Norsk Seilforening

Singlehanded Ranking
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-33005;ARGO VIII;SF 3300;;;;;Frode Tobiasson (Bundefjorden Seilforening
2;NOR-10576;FARROUT;Farr 395;;;;;Petter Hegle (Holmestrand Seilforening
3;NOR-13724;VINDTORA;Pogo 8,50;;;;;Christian Stensholt (Frognerkilen Seilforening Av 1860
4;NOR-10240;FRITT FRAM !;First 40.7;;;;;Audun Gjøstein (Asker Seilforening
5;NOR-13533;CRUELLA;Sun Fast 3200;;;;;Eira Naustvik (Hurum Seilforening
