NOR Rating
1;NOR-15788;Dehler 44;Off Course;Marius LØKEN; RØYK;;;;;;
2;NOR-10745;First 36.7;Eowyn;Eivind Nysether TYTLANDSVIK;ÅSGÅ;;;;;;
3;NOR-14570;Elan 350;Marialene;Steinar JØRGENSEN;DSSF;;;;;;

Doublehanded
1;NOR-13918;Sun Fast 37;Malolo;Arne BRATLIE;HURU
2;NOR-33002;Sun Fast 3300;Pretty Fast;Lars MOE-HELGESEN;DSSF
3;NOR-14438;Elan 350;Momentum;Harald KLÆBOE;DSSF
4;NOR-153;X-35;Xanthe;Yngve LØNMO;HURU
5;NOR-12057;Grand Soleil 37 B&C;Time Bandit;Morten WESTBERG;KNS

Singlehanded
1;NOR-10125;DEHLER 39 JV;IL TORO;Jostein WEUM;ASKR
2;NOR-33005;SunFast 3300;Argo VIII;Frode TOBIASSON;BUND
3;NOR-10083;J/92;Jerry;Stian HENRIKSEN;ASKR
4;NOR-16360;First 36;First Try;--;TØSF

