
<p><a href="?action=&regatta=1493&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Endelige resultater
11MOD
Plass;Seilnr;Båt;Skipper;år;Forening;Poeng;Race 1
1;NOR-153;Piece of Cake;Jan Hammarstrøm;;Drøbaksund Seilforening;1;1
2;NOR-123;Securitas;Hans Kr. Knudsen;;Drøbaksund Seilforening;2;2
NOR rating fra og med 0,975
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-10501;NEWCY BROWN II;John Øivind Saxebøl;;Drøbaksund Seilforening;Dufour 40;1,0110;1;1
2;NOR-14438;Momentum;Harald Klæboe;;Drøbaksund Seilforening;Elan 350;1,0250;2;2
3;USA-50390;Pakalolo;Marius Andersen;;Frognerkilen Seilforening Av 1860;Mumm 36;1,057;3;3
4;NOR-12047;Baltazar II;Tom Bratlie;;Hurum Seilforening;Hanse 400e;1,0290;4;4
5;NOR-11405;Tempo;Joakim Bruksås;;Hurum Seilforening;First 36,7;0,9780;5;5
6;NOR-10314;Tiffin;Martin Bøhm-Pedersen;;Frognerkilen Seilforening Av 1860;Arcona 400;1,0240;6;6
7;NOR-10894;Aiolos;Randy Nielsen;;Kongelig Norsk Seilforening;J Sun Odyssey 49;1,018;7;7
NOR rating til og med 0,974
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-5;O2;Stian Henriksen;;Randsfjord Seilforening;Sun Fast 3200;0,9630;1;1
2;NOR-3051;Ran 1;Yngve Lønmo;;Hurum Seilforening;Comfort 30;0,8390;2;2
3;NOR-10629;Sinbad;Bjørn Hansen;;Bærum Seilforening;Impala 31;0,9090;3;3
4;NOR-14950;NN;Thore Hammarstrøm;;Drøbaksund Seilforening;Dufour 34 E Performance;0,9430;4;4
5;NOR-723;Liffe;Leif Evensen;;Drøbaksund Seilforening;Albin Express;0,841;5;5
6;NOR-5011;Aiolos;Arne Bratlie;;Hurum Seilforening;Comfortina 32;0,8720;6;6
7;NOR-11285;Tusså;Frank Sandberg;;Drøbaksund Seilforening;Sun Fast 35;0,9530;7;7
8;NOR-11789;Siahgahay;DAG BJØRNSEN;;Nesodden Seilforening;sun fast 36;0,952;8;8
9;NOR-804;Kuling;Morten Ebbell Hestnes;;Bundefjorden Seilforening;Melges 24;0,9730;9;9
10;NOR-7626;Skumpa;Thomas Sund;;Hurum Seilforening;;0,894;10;10
11;NOR-9660;Andante;Terje Hall Torgersen;;Bundefjorden Seilforening;X-332;0,9510;11;11
12;NOR-10766;pole pole;GAUTE AUTHEN HANSEN;;Drøbaksund Seilforening;first 27,7;0,860;12;12
13;NOR-14131;Marialene 2;Steinar Jørgensen;;Drøbaksund Seilforening;Hanse 370;0,9730;13;13
14;NOR-9604;Bella Ragazza;Bjørn Frantsen;;Drøbaksund Seilforening;Grand Soleil;0,9480;14;14
