
<p><a href="?action=&regatta=1435&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Endelige resultater
Fredag og LÃ¸rdag Shorthanded Rating <= 0,9709
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Fredag;Lørdag
1;NOR-10388;JAMBO;Torgeir Sten Askvig;64;Asker Seilforening;J/109;0,9610;2;1;1
2;NOR-13882;333 Half Evil;Bjørn William Lindgren;65;Kongelig Norsk Seilforening;Archambault 31;0,9660;5;2;3
3;NOR-14731;Hazard C;Kaja Sjøl Christensen;;Asker Seilforening;HOD 35;0,9490;6;4;2
4;NOR-6366;Cilantra;Axel Nissen-Lie;66;Nesøya Seilforening;Twostar 36;0,9510;7;3;4
5;NOR-141;Beat;Andreas Lawson;;Kongelig Norsk Seilforening;Express;0,8320;10;5;5
6;NOR-5;O2;Stian Henriksen;73;Randsfjord Seilforening;Sun Fast 3200;0,958;12;6;6
7;NOR-28;HYAK;Pål Kragerud;;Kongelig Norsk Seilforening;SunFast 3200;0,96;15;7;8
8;NOR-14994;Sea Tune;Geir Lerkerød;;Frognerkilen Seilforening Av 1860;Seascape 27;0,964;20;DNC (13);7
9;NOR-3330;Memento;Eira Naustvik;;Asker Seilforening;Polo 86;0,8030;21;8;DNF (13)
10;NOR-14551;Luna;TROND MÅRVIK;65;Egersund Seilforening;Hanse 355;0,8920;22;9;DNC (13)
11;NOR-11605;Sirkus;Finn Thon;58;Bærum Seilforening;Bavaria 36;0,9280;23;10;DNF (13)
12;NOR-13946;Just 4 Fun;Christian Toverud;64;Bundefjorden Seilforening;Salona 34;0,9390;24;11;DNF (13)
Fredag og LÃ¸rdag Shorthanded Rating >= 0,9710
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Fredag;Lørdag
1;NOR-10145;MALINE;Kjetil Bakke;;Asker Seilforening;IMX-45;1,1050;3;2;1
2;NOR-13639;Godevenner;Elling Rishoff;;Asker Seilforening;First 40;1,0520;6;1;5
3;NOR-11161;Eureka;Niclas Fure;67;Kongelig Norsk Seilforening;Elan 37;0,9830;6;4;2
4;NOR-12528;Nethanja 4;christian ferner;49;Kongelig Norsk Seilforening;X-40;1,0210;9;6;3
5;NOR-10738;Mimoka;Morten Nissen-Lie;;Kongelig Norsk Seilforening;Elan 37;0,9780;9;5;4
6;NOR-9779;Jokerman;Per Ottar Skaaret;58;Asker Seilforening;X-50;1,1300;10;3;7
7;NOR-10442;Wind Machine;Per Aaserud;57;Kongelig Norsk Seilforening;X-442;1,0440;15;DNF (9);6
8;NOR-14864;Vitesse;Håkon Ingvaldsen;65;Kongelig Norsk Seilforening;Beneteau Oceanis 54;1,0760;18;DNC (9);DNC (9)
Fredag Shorthanded Rating <= 0,9399
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Fredag
1;NOR-164;Mandrillen;Siri Bjønnes Kamfjord;;Tønsberg Seilforening;Express;0,832;1;1
2;NOR-10107;JOY IV;TROND GUNDERSEN;48;Asker Seilforening;First 31.7;0,9100;2;2
3;NOR-154;Lucky Duck;Audun Noreng;;Kongelig Norsk Seilforening;Albin Express;0,832;3;3
4;NOR-65;Deidres Samba;Martin Hæreid;86;Kongelig Norsk Seilforening;CB66;0,8490;4;4
5;NOR-8180;Emiliane;Carl Fredrik Kresse;72;Asker Seilforening;First 325;0,8690;5;5
6;NOR-14035;Delan;Knut Andreas Selliken;;Drøbaksund Seilforening;Elan 310;0,9170;6;6
Fredag Shorthanded Rating >= 0,9400
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Fredag
1;NOR-9299;Olisabeth;Svein Are Løtveit;;Asker Seilforening;Luffe 40MH;1,0200;1;1
2;NOR-13975;Sparkling girl;harald walder;;Bærum Seilforening;Archambault 31;0,9590;2;2
3;NOR-10240;Fritt Fram!;Audun Gjøstein;;Asker Seilforening;First 40.7;1,0260;3;3
4;NOR-13573;Amarone;Geir Melby;19;Asker Seilforening;Elan 340;0,9400;4;4
5;NOR-10760;Naomi;Ole Gunnar Tveiten;59;Asker Seilforening;Jeanneau Sun Fast 35;0,9430;5;5
6;NOR-14139;Sjøflot;Frank Larsen;70;Asker Seilforening;Jeanneau Sun Fast 37;0,9430;6;6
7;NOR-10044;Wendigo 2;Gunnar Gundersen;9.;Kongelig Norsk Seilforening;Dehler 36;0,9680;7;7
8;NOR-14633;Friskus VI;Frode Brattum;76;Asker Seilforening;Hanse 445;1,0300;;DNC (10)
8;NOR-804;Kuling;Morten Ebbell Hestnes;;Bundefjorden Seilforening;Melges 24;0,9480;;DNC (10)
LÃ¸rdag fullt mannskap Rating <= 0,9809
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Lørdag
1;NOR-9660;Andante;Terje Hall Torgersen;;Bundefjorden Seilforening;X-332;0,9510;1;1
2;NOR-804;Kuling;Morten Ebbell Hestnes;;Bundefjorden Seilforening;Melges 24;0,9730;2;2
3;NOR-154;Lucky Duck;Audun Noreng;;Kongelig Norsk Seilforening;Express;0,841;3;3
4;NOR-14073;Bloom;Pål Rødseth;;Bærum Seilforening;X-34;0,9640;4;4
5;NOR-10107;JOY IV;Trond Gundersen;;Asker Seilforening;First 31.7;0,9210;5;5
6;NOR-10760;Naomi;Ole Gunnar Tveiten;;Asker Seilforening;Jeanneau Sun Fast 35;0,9510;6;6
7;NOR-13573;Amarone;Geir Melby;;Asker Seilforening;Elan 340;0,9500;7;7
8;NOR-10044;Wendigo 2;Gunnar Gundersen;;Kongelig Norsk Seilforening;Dehler 36;0,9740;8;8
9;NOR-8180;Emiliane;Carl Fredrik Kresse;;Asker Seilforening;First 325;0,8740;;DNC (14)
9;NOR-11959;Hegra;jan nic. langfeldt;42;Asker Seilforening;Gambling 34;0,8840;;DNC (14)
9;NOR-11110;Lupona;wolfgang eichstetter;;Asker Seilforening;Kron;0,8900;;DNC (14)
9;NOR-11731;Noname;Frode Scheistrøen;;Asker Seilforening;Sun fast 35;0,9520;;DNC (14)
9;NOR-13975;Sparkling girl;Harald Walder;;Bærum Seilforening;Archambault 31;0,9720;;DNC (14)
LÃ¸rdag fullt mannskap Rating >= 0,9810
Plass;Seilnr;Båt;Skipper;år;Forening;Båttype;HCP;Poeng;Lørdag
1;NOR-9299;Olisabeth;Svein Are Løtveit;;Asker Seilforening;Luffe 40MH;1,0320;1;1
2;NOR-9555;SNEHVIT;ARILD BERG;;Bærum Seilforening;N-Yachts 41;1,0180;2;2
3;NOR-26;Day-one;Peter Keller;;Bærum Seilforening;farr 30;1,07;3;3
4;NOR-10240;Fritt Fram!;Audun Gjørstein;;Asker Seilforening;First 40.7;1,0330;4;4
5;NOR-11400;X´est La Vie;Ketil Fridheim;57;Kongelig Norsk Seilforening;X-40;1,0270;5;5
6;NOR-13990;Wasabi;Stein Ødegård;;Nesodden Seilforening;First 35;0,9860;6;6
7;NOR-14109;Little Wing;Kristian Heder;;Asker Seilforening;T-34;1,01;7;7
8;NOR-160;Point 2 Point;Anders Larsson;65;Asker Seilforening;11 Meter;1,026;8;8
9;NOR-10042;Dawn II;Tor Ingebrigtsen;53;Asker Seilforening;Grand Soleil 40c;0,9880;9;9
10;NOR-14628;Vindfang;Tormod S. Petersen;49;Nesodden Seilforening;HP1030;1,0370;10;10
11;NOR-9155;Havhesten;Magnus Lingjærde;76;Bærum Seilforening;First 41S5;0,9930;;DNF (14)
11;NOR-10016;Lufelia;Erik Toftenes;;Asker Seilforening;Luffe 43 DS;1,0260;;DNF (14)
11;NOR-12083;Sole è  mar;Thomas Martinsen;;Asker Seilforening;Hanse 400 e;1,0120;;DNF (14)
LÃ¸rdag TUR
